Linha;Carcaça;A;AA;AB;B mín;B máx;BA;BB;BC;BD;C;K;K';H;B2;B3;B4;HA
W50;315 H/G;508;135;628;710;800;283;980;283;80;216;28;38;315;0;0;0;50
W50;355 J/H;610;150;750;800;900;298;1082;298;91;254;28;48;355;0;0;0;50
W50;400 L/K;686;184;840;710;800;310;1085;340;123;280;36;56;400;0;0;0;50
W50;400 J/H;686;184;840;900;1000;310;1235;310;123;280;36;56;400;0;0;0;50
W50;450 L/K;750;204;940;800;900;351;1217;386;154;315;36;56;450;0;0;0;68
W50;450 J/H;750;204;940;1000;1120;351;1367;351;154;315;36;56;450;0;0;0;68
W51 HD;315G/F;508;133;650;800;900;308;1173;390;89;216;28;38;315;0;0;0;51
W51 HD;355H/G;610;160;765;900;1000;319;1242;427;99;254;28;48;355;0;0;0;52
W51 HD;400H/G;686;180;840;1000;1120;444;1389;440;130;280;36;56;400;0;0;0;52
W51 HD;450H/G;750;225;940;1120;1250;477;1578;541;152;315;36;56;450;0;0;0;53
HGF;500;850;275;1050;900;1400;300;1660;730;150;375;42;62;500;1000;1120;1250;0
HGF;560;950;320;1200;1000;1600;390;1880;830;230;400;42;62;560;1120;1250;1400;0
