Linha;Carca�a;A;AA;AB;B m�n;B m�x;BA;BB;BC;BD;C;K;K';H;B2;B3;B4;HA
W50;5009/10;508;134.0104;628.015;711.2;812.8;282.448;903.859;282.448;80.010;215.9;29.9974;40.005;317.5;0;0;0;52.6542
W50;5809/10;584.2;147.1422;750.0112;812.8;914.4;294.5384;1077.341;294.5384;91.008;254;29.9974;48.006;368.3;0;0;0;50.1396
W50;6806/07;685.8;179.07;840.0034;711.2;812.8;298.196;1072.5404;328.1934;116.205;292.1;35.9918;56.007;431.8;0;0;0;50.1396
W50;6808/09;685.8;179.07;840.0034;914.4;1016;298.196;1222.4004;298.1198;116.205;292.1;35.9918;56.007;431.8;0;0;0;50.1396
W50;7006/07;762;206.883;940.0032;812.8;914.4;351.5614;1237.6912;386.5626;130.988;292.1;35.9918;56.007;444.5;0;0;0;62.6618
W50;7008/09;762;206.883;940.0032;1016;1143;351.5614;1387.6782;351.5614;130.988;292.1;35.9918;56.007;444.5;0;0;0;62.6618
W51 HD;5010/11;508;131.4196;650.0114;812.8;914.4;307.3908;1173;389.382;88.8746;375.0056;27.9908;37.9984;317.5;0;0;0;53.467
W51 HD;5810/11;584.2;80.7212;764.4384;314.4;1016;317.5508;1240.8662;426.1612;98.3996;424.9928;27.9908;48.006;368.3;0;0;0;66.2432
W51 HD;6809/10;685.8;175.3616;840.0034;1016;1143;440.5122;1386.1542;437.007;128.5748;449.9864;35.9918;56.007;431.8;0;0;0;52.4764
W51 HD;7009/10;762;228.1682;940.0032;1143;1270;477.1644;1577.9242;541.1724;128.9558;474.98;35.9918;56.007;444.5;0;0;0;47.4472
HGF;8006/10;863.6;279.4;1054.1;914.4;1422.4;300;1660;730;149.86;355.6;43.18;43.18;508;1016;1143;1270;73.66
HGF;8806/10;965.2;320.04;1198.88;1016;1600.2;390;1880;830;180.34;381;43.18;43.18;558.8;1143;1270;1422.4;68.58
